[29, 195]
[26, 227]
[32, 164]
[35, 133]
[39, 102]
[41, 72]
[129, 239]
[100, 197]
[60, 218]
[139, 120]
[106, 277]
[132, 46]
[136, 17]
[129, 262]
[131, 310]
[138, 167]
[172, 244]
[170, 301]
[156, 42]
[175, 213]
[174, 187]
[166, 157]
[184, 122]
[188, 89]
[194, 57]
[199, 24]
[76, 66]
[67, 138]
[71, 235]
[132, 69]
[136, 215]
[98, 104]
[66, 179]
[107, 144]
[128, 172]
[175, 265]
[83, 170]
[120, 223]
[157, 90]
[167, 12]
[198, 153]
[71, 103]
[77, 212]
[100, 240]
[104, 73]
[125, 96]
[131, 284]
[136, 147]
[157, 325]
[185, 324]
[9, 202]
[22, 81]
[50, 203]
[62, 81]
[88, 126]
[85, 86]
[98, 222]
[105, 173]
[115, 121]
[123, 197]
[143, 191]
[152, 234]
[152, 266]
[158, 66]
[159, 112]
[174, 63]
[186, 285]
[192, 174]
[214, 48]
[44, 223]
[52, 159]
[55, 129]
[59, 97]
[117, 283]
[145, 49]
[150, 17]
[140, 319]
[147, 216]
[171, 21]
[193, 243]
[188, 236]
[196, 213]
[191, 205]
[205, 122]
[209, 90]
[198, 187]
[203, 154]
[218, 25]
[66, 209]
[125, 217]
[189, 324]
[117, 295]
[212, 66]
[45, 230]
[51, 168]
[125, 228]
[140, 326]
[159, 29]
[195, 219]
[216, 35]
[52, 136]
[58, 104]
[146, 156]
[144, 58]
[189, 253]
[203, 133]
[199, 162]
[206, 101]
[194, 193]
[210, 71]
[42, 176]
[121, 245]
[189, 223]
[22, 239]
[9, 206]
[31, 144]
[34, 112]
[75, 245]
[60, 245]
[73, 225]
[108, 148]
[107, 298]
[161, 254]
[163, 223]
[167, 194]
[170, 162]
[172, 133]
[178, 101]
[177, 67]
[190, 32]
[16, 173]
[16, 143]
[19, 111]
[95, 292]
[124, 57]
[128, 26]
[131, 328]
[160, 194]
[163, 162]
[182, 34]
[8, 235]
[155, 328]
[157, 223]
[153, 253]
[166, 132]
[168, 100]
[117, 56]
[120, 24]
[11, 171]
[53, 229]
[7, 220]
[14, 129]
[17, 96]
[20, 68]
[72, 73]
[79, 173]
[93, 269]
[146, 202]
[157, 214]
[158, 184]
[162, 153]
[165, 122]
[181, 23]
[9, 186]
[11, 162]
[119, 37]
[121, 9]
[162, 16]
[177, 49]
[73, 65]
[157, 207]
[159, 176]
[161, 12]
[169, 92]
[13, 153]
[15, 121]
[21, 61]
[93, 262]
[116, 159]
[162, 150]
[178, 44]
[81, 166]
[9, 215]
[20, 91]
[173, 77]
[20, 182]
[125, 34]
[186, 171]
[193, 142]
[47, 59]
[30, 151]
[38, 215]
[47, 122]
[54, 93]
[140, 7]
[177, 11]
[181, 262]
[183, 232]
[196, 110]
[190, 203]
[205, 80]
[215, 15]
[44, 184]
[49, 153]
[131, 159]
[59, 61]
[118, 260]
[144, 35]
[194, 171]
[54, 123]
[147, 8]
[198, 143]
[44, 218]
[50, 187]
[189, 279]
[62, 65]
[67, 186]
[67, 200]
[70, 176]
[127, 200]
[129, 187]
[140, 287]
[140, 273]
[140, 303]
[149, 184]
[152, 157]
[153, 147]
[160, 94]
[164, 67]
[189, 302]
[143, 247]
[168, 46]
[19, 206]
[174, 326]
[182, 328]
[41, 84]
[41, 239]
[50, 114]
[51, 145]
[55, 85]
[81, 146]
[98, 245]
[95, 226]
[108, 227]
[176, 223]
[185, 163]
[183, 194]
[187, 68]
[189, 134]
[192, 102]
[193, 70]
[198, 36]
[213, 38]
[174, 67]
[128, 292]
[128, 314]
[152, 293]
[152, 309]
[58, 193]
[60, 166]
[64, 124]
[77, 189]
[128, 275]
[136, 191]
[53, 216]
[72, 96]
[68, 98]
[75, 207]
[154, 55]
[36, 59]
[171, 232]
[189, 142]
[28, 121]
[106, 64]
[84, 65]
[79, 62]
[90, 234]
[102, 260]
[114, 235]
[126, 7]
[129, 66]
[156, 262]
[157, 232]
[171, 203]
[161, 203]
[174, 143]
[169, 140]
[172, 171]
[181, 203]
[198, 44]
[186, 43]
[196, 79]
[206, 14]
[188, 12]
[209, 46]
[72, 160]
[134, 208]
[42, 92]
[103, 167]
[68, 193]
[117, 273]
[126, 209]
[129, 179]
[140, 280]
[140, 295]
[140, 311]
[148, 196]
[148, 208]
[150, 176]
[155, 131]
[169, 39]
[189, 291]
[189, 313]
[211, 60]
[213, 57]
[218, 19]
[69, 183]
[146, 224]
[170, 29]
[143, 254]
[167, 51]
[193, 249]
[206, 127]
[203, 158]
[187, 328]
[112, 148]
[25, 83]
[33, 206]
[40, 206]
[55, 115]
[65, 245]
[83, 245]
[88, 147]
[88, 245]
[106, 245]
[111, 245]
[114, 298]
[129, 58]
[135, 27]
[165, 328]
[173, 254]
[172, 194]
[188, 194]
[191, 163]
[26, 173]
[26, 112]
[32, 239]
[32, 84]
[40, 144]
[83, 225]
[97, 148]
[116, 227]
[120, 149]
[144, 27]
[170, 223]
[177, 162]
[182, 254]
[183, 223]
[198, 135]
[201, 70]
[202, 102]
[13, 239]
[43, 113]
[130, 150]
[140, 58]
[13, 135]
[19, 73]
[128, 320]
[152, 318]
[7, 227]
[17, 105]
[64, 130]
[93, 281]
[128, 300]
[152, 276]
[152, 326]
[158, 190]
[161, 158]
[180, 29]
[76, 196]
[118, 44]
[134, 220]
[152, 247]
[152, 285]
[156, 219]
[160, 20]
[9, 196]
[59, 186]
[62, 155]
[138, 181]
[176, 55]
[69, 91]
[11, 182]
[120, 33]
[30, 59]
[21, 151]
[27, 215]
[24, 58]
[42, 122]
[79, 232]
[99, 63]
[105, 234]
[124, 66]
[147, 262]
[158, 203]
[164, 9]
[167, 171]
[168, 203]
[171, 262]
[178, 203]
[181, 42]
[185, 142]
[188, 110]
[191, 78]
[18, 215]
[22, 120]
[31, 91]
[35, 184]
[93, 167]
[91, 63]
[118, 65]
[123, 158]
[133, 7]
[136, 34]
[138, 66]
[160, 171]
[164, 232]
[174, 109]
[179, 141]
[179, 171]
[180, 77]
[186, 203]
[193, 44]
[197, 13]
[28, 182]
[123, 236]
[59, 93]
[201, 112]
[151, 11]
[198, 183]
[203, 151]
[209, 83]
[184, 265]
[50, 193]
[61, 71]
[71, 170]
[117, 289]
[125, 223]
[128, 195]
[143, 242]
[148, 191]
[153, 153]
[155, 124]
[159, 100]
[161, 90]
[170, 35]
[189, 297]
[189, 308]
[189, 319]
[212, 62]
[214, 53]
[72, 154]
[151, 162]
[207, 96]
[156, 118]
[196, 190]
[191, 222]
[20, 173]
[21, 143]
[24, 206]
[30, 173]
[46, 85]
[46, 206]
[49, 176]
[60, 84]
[69, 245]
[92, 245]
[99, 227]
[115, 245]
[136, 328]
