[20, 250]
[57, 51]
[57, 100]
[57, 148]
[57, 195]
[131, 236]
[135, 279]
[127, 111]
[127, 12]
[81, 43]
[83, 169]
[108, 64]
[110, 174]
[144, 183]
[144, 65]
[168, 162]
[169, 30]
[193, 52]
[193, 100]
[193, 147]
[194, 196]
[214, 247]
[256, 239]
[50, 261]
[199, 8]
[64, 240]
[168, 229]
[199, 257]
[169, 96]
[194, 239]
[82, 100]
[82, 227]
[227, 303]
[85, 302]
[182, 302]
[95, 140]
[95, 259]
[158, 140]
[89, 8]
[109, 211]
[52, 296]
[97, 94]
[100, 236]
[135, 153]
[133, 213]
[134, 36]
[165, 264]
[159, 12]
[168, 196]
[169, 63]
[73, 277]
[81, 72]
[83, 198]
[108, 37]
[113, 296]
[127, 139]
[122, 257]
[144, 92]
[153, 301]
[154, 108]
[225, 275]
[230, 237]
[39, 240]
[82, 122]
[96, 282]
[108, 153]
[99, 193]
[105, 115]
[118, 87]
[144, 258]
[154, 206]
[154, 45]
[155, 163]
[168, 286]
[190, 279]
[32, 258]
[71, 48]
[71, 86]
[71, 145]
[71, 182]
[88, 167]
[123, 183]
[122, 64]
[173, 225]
[206, 52]
[206, 100]
[206, 147]
[206, 195]
[236, 289]
[261, 240]
[71, 115]
[71, 212]
[85, 224]
[119, 91]
[123, 212]
[157, 88]
[157, 211]
[195, 302]
[67, 162]
[71, 64]
[171, 144]
[203, 67]
[202, 117]
[202, 212]
[206, 162]
[233, 303]
[88, 230]
[122, 94]
[157, 96]
[179, 239]
[260, 247]
[204, 72]
[21, 264]
[125, 306]
[192, 167]
[47, 72]
[53, 120]
[48, 168]
[53, 216]
[64, 306]
[94, 15]
[102, 215]
[134, 97]
[188, 121]
[189, 215]
[221, 306]
[8, 261]
[76, 242]
[92, 143]
[184, 72]
[49, 302]
[44, 216]
[180, 167]
[43, 118]
[157, 237]
[180, 121]
[180, 216]
[95, 214]
[4, 240]
[43, 148]
[164, 168]
[164, 34]
[43, 45]
[43, 86]
[43, 183]
[47, 256]
[77, 19]
[93, 44]
[95, 163]
[129, 155]
[180, 46]
[180, 86]
[180, 134]
[43, 130]
[180, 188]
[43, 33]
[77, 9]
[93, 34]
[95, 151]
[180, 34]
[164, 24]
[203, 238]
[44, 174]
[101, 104]
[181, 79]
[194, 174]
[45, 79]
[132, 150]
[182, 128]
[84, 4]
[192, 4]
[246, 233]
[63, 127]
[65, 31]
[116, 32]
[117, 150]
[149, 32]
[155, 150]
[201, 32]
[68, 174]
[201, 79]
[201, 128]
[258, 233]
[174, 8]
[202, 4]
[35, 253]
[202, 174]
[223, 236]
[71, 128]
[157, 33]
[229, 255]
[122, 35]
[236, 274]
[71, 34]
[123, 152]
[86, 53]
[84, 202]
[88, 196]
[157, 57]
[157, 185]
[173, 116]
[173, 190]
[173, 47]
[169, 89]
[173, 93]
[156, 215]
[194, 306]
[103, 243]
[126, 241]
[95, 306]
[109, 94]
[115, 143]
[117, 15]
[119, 215]
[143, 143]
[145, 15]
[160, 306]
[142, 306]
[157, 239]
[146, 241]
[168, 241]
[177, 306]
[189, 11]
[217, 305]
[43, 58]
[43, 163]
[77, 52]
[77, 104]
[77, 119]
[93, 59]
[93, 75]
[129, 183]
[129, 197]
[130, 58]
[130, 77]
[164, 207]
[164, 221]
[164, 47]
[47, 283]
[77, 154]
[77, 198]
[164, 190]
[164, 85]
[180, 68]
[217, 288]
[27, 236]
[105, 254]
[93, 254]
[121, 233]
[233, 233]
[66, 254]
[131, 4]
[108, 4]
[104, 233]
[137, 104]
[164, 254]
[136, 254]
[144, 233]
[189, 254]
[187, 236]
[64, 79]
[146, 4]
[206, 37]
[206, 85]
[206, 133]
[187, 241]
[71, 101]
[71, 197]
[71, 158]
[86, 34]
[86, 87]
[88, 213]
[122, 50]
[122, 79]
[123, 168]
[123, 198]
[157, 157]
[154, 170]
[157, 198]
[157, 42]
[157, 79]
[157, 168]
[173, 208]
[173, 132]
[173, 25]
[173, 153]
[173, 60]
[173, 105]
[195, 292]
[206, 182]
[206, 113]
[206, 208]
[229, 264]
[236, 299]
[206, 61]
[62, 216]
[62, 120]
[195, 121]
[195, 215]
[200, 167]
[203, 278]
[59, 168]
[59, 72]
[66, 243]
[76, 306]
[85, 243]
[100, 143]
[103, 97]
[107, 306]
[115, 97]
[122, 143]
[138, 212]
[141, 215]
[143, 97]
[151, 143]
[154, 15]
[196, 11]
[198, 241]
[230, 306]
[12, 264]
[86, 306]
[94, 243]
[106, 15]
[111, 215]
[116, 306]
[117, 241]
[133, 15]
[134, 143]
[134, 306]
[136, 241]
[151, 306]
[169, 306]
[186, 306]
[234, 240]
[56, 306]
[244, 243]
[254, 247]
[5, 250]
[43, 65]
[93, 84]
[129, 205]
[130, 87]
[5, 259]
[43, 97]
[43, 197]
[47, 266]
[47, 293]
[77, 31]
[77, 63]
[77, 132]
[77, 164]
[77, 213]
[93, 93]
[88, 178]
[95, 175]
[95, 196]
[129, 165]
[130, 40]
[164, 154]
[164, 56]
[180, 99]
[180, 146]
[47, 275]
[77, 90]
[77, 185]
[77, 226]
[164, 199]
[180, 202]
[217, 297]
[177, 176]
[15, 236]
[141, 32]
[185, 4]
[229, 233]
[6, 236]
[52, 127]
[55, 31]
[56, 254]
[67, 236]
[83, 254]
[99, 4]
[105, 32]
[105, 150]
[124, 104]
[119, 254]
[123, 4]
[136, 233]
[147, 150]
[153, 254]
[165, 8]
[180, 254]
[191, 32]
[212, 236]
[56, 174]
[75, 254]
[113, 104]
[113, 233]
[128, 254]
[145, 254]
[150, 104]
[198, 236]
[240, 233]
[37, 236]
[197, 254]
[150, 233]
[173, 37]
[43, 208]
[77, 143]
[180, 57]
[180, 110]
[71, 137]
[71, 56]
[71, 94]
[71, 190]
[71, 205]
[86, 26]
[82, 45]
[86, 43]
[86, 95]
[88, 156]
[88, 205]
[88, 221]
[122, 43]
[122, 72]
[122, 57]
[122, 87]
[123, 160]
[123, 176]
[123, 191]
[157, 50]
[157, 192]
[157, 204]
[173, 199]
[173, 217]
[173, 124]
[173, 140]
[195, 286]
[206, 45]
[206, 93]
[206, 155]
[236, 282]
[261, 235]
[157, 62]
[173, 66]
[27, 261]
[68, 120]
[68, 216]
[151, 241]
[156, 143]
[173, 241]
[200, 215]
[201, 121]
[66, 168]
[68, 72]
[106, 143]
[124, 15]
[147, 215]
[150, 97]
[160, 241]
[192, 72]
[70, 306]
[72, 243]
[101, 306]
[112, 241]
[209, 278]
[184, 11]
[130, 93]
[43, 103]
[77, 37]
[129, 211]
[180, 152]
[43, 138]
[47, 299]
[95, 204]
[129, 173]
[130, 48]
[130, 66]
[164, 160]
[164, 213]
[164, 92]
[43, 111]
[43, 156]
[77, 45]
[77, 112]
[77, 206]
[93, 52]
[95, 190]
[164, 79]
[135, 32]
[182, 236]
[255, 233]
[49, 31]
[51, 254]
[57, 79]
[93, 4]
[99, 32]
[113, 254]
[117, 4]
[129, 233]
[140, 4]
[141, 150]
[173, 254]
[193, 79]
[193, 128]
[207, 236]
[98, 233]
[99, 254]
[100, 150]
[111, 150]
[156, 233]
[159, 8]
[159, 254]
[193, 236]
[251, 233]
[206, 80]
[173, 87]
[35, 248]
[71, 41]
[71, 108]
[71, 152]
[86, 80]
[86, 59]
[88, 162]
[88, 190]
[123, 205]
[157, 38]
[157, 84]
[157, 153]
[173, 54]
[169, 20]
[173, 99]
[173, 111]
[173, 19]
[173, 32]
[173, 148]
[173, 185]
[195, 297]
[206, 107]
[206, 140]
[206, 189]
[206, 202]
[219, 248]
[229, 260]
[236, 294]
[35, 257]
[88, 151]
[157, 161]
[205, 9]
[236, 303]
[173, 158]
[25, 264]
[31, 261]
[107, 243]
[80, 306]
[120, 97]
[126, 143]
[130, 241]
[140, 241]
[177, 241]
[191, 241]
[16, 264]
[53, 168]
[79, 243]
[89, 243]
[90, 306]
[100, 15]
[98, 243]
[106, 215]
[108, 97]
[111, 15]
[110, 143]
[111, 306]
[120, 306]
[121, 241]
[129, 306]
[136, 215]
[139, 15]
[138, 143]
[146, 306]
[151, 215]
[155, 241]
[155, 306]
[164, 306]
[181, 306]
[182, 241]
[186, 167]
[198, 72]
[225, 306]
[48, 120]
[53, 72]
[9, 264]
[205, 241]
[231, 240]
[44, 168]
[43, 70]
[43, 50]
[43, 188]
[47, 260]
[47, 287]
[77, 95]
[77, 124]
[77, 190]
[77, 218]
[129, 188]
[164, 225]
[164, 39]
[180, 91]
[180, 157]
[5, 245]
[5, 255]
[43, 39]
[43, 91]
[43, 143]
[43, 202]
[47, 271]
[77, 14]
[77, 25]
[77, 57]
[77, 137]
[77, 148]
[77, 159]
[93, 39]
[95, 157]
[95, 169]
[95, 209]
[129, 160]
[129, 178]
[130, 53]
[130, 71]
[130, 82]
[164, 150]
[164, 195]
[164, 29]
[180, 40]
[180, 51]
[180, 62]
[180, 104]
[180, 115]
[180, 140]
[180, 194]
[180, 208]
[217, 293]
[77, 86]
[46, 127]
[186, 32]
[63, 254]
[90, 254]
[132, 104]
[145, 104]
[158, 104]
[199, 4]
[204, 254]
[22, 236]
[33, 236]
[51, 174]
[58, 127]
[61, 31]
[63, 174]
[71, 254]
[89, 4]
[96, 104]
[104, 4]
[108, 104]
[109, 233]
[111, 32]
[113, 4]
[119, 104]
[124, 254]
[136, 4]
[137, 150]
[141, 254]
[169, 254]
[185, 175]
[185, 254]
[188, 79]
[188, 128]
[197, 32]
[237, 233]
[51, 79]
[154, 8]
[170, 8]
[216, 233]
[226, 254]
[121, 150]
[150, 4]
[206, 32]
[206, 128]
[206, 178]
[157, 175]
[86, 49]
[173, 43]
[206, 66]
[99, 97]
[43, 179]
[121, 32]
[71, 133]
[71, 38]
[71, 45]
[71, 52]
[71, 60]
[71, 90]
[71, 98]
[71, 105]
[71, 112]
[71, 141]
[71, 149]
[71, 186]
[71, 194]
[71, 201]
[71, 209]
[86, 22]
[86, 39]
[86, 76]
[86, 30]
[86, 84]
[86, 91]
[86, 99]
[88, 172]
[88, 187]
[88, 200]
[88, 209]
[88, 217]
[88, 227]
[122, 39]
[122, 47]
[122, 54]
[122, 61]
[122, 68]
[122, 76]
[122, 83]
[123, 156]
[123, 164]
[123, 172]
[123, 180]
[123, 187]
[123, 195]
[123, 202]
[123, 209]
[157, 54]
[154, 76]
[157, 92]
[157, 189]
[157, 47]
[157, 75]
[157, 172]
[157, 208]
[173, 204]
[173, 213]
[173, 195]
[173, 29]
[173, 51]
[173, 120]
[173, 128]
[173, 136]
[173, 221]
[173, 229]
[206, 57]
[206, 41]
[206, 49]
[206, 89]
[206, 97]
[206, 104]
[206, 137]
[206, 144]
[206, 151]
[206, 159]
[206, 186]
[206, 199]
[236, 278]
[236, 286]
[261, 244]
[122, 90]
[206, 70]
[206, 117]
[206, 212]
[36, 244]
[195, 281]
[203, 166]
[219, 243]
[123, 215]
[39, 243]
[199, 11]
[233, 306]
[48, 216]
[57, 216]
[60, 306]
[115, 215]
[138, 97]
[138, 306]
[147, 143]
[149, 15]
[164, 241]
[173, 306]
[190, 306]
[58, 120]
[63, 168]
[64, 72]
[112, 97]
[119, 143]
[121, 15]
[130, 15]
[147, 97]
[154, 97]
[158, 15]
[185, 121]
[186, 215]
[188, 72]
[192, 121]
[193, 11]
[196, 167]
[201, 241]
[238, 240]
[247, 243]
[97, 143]
[99, 215]
[160, 143]
[131, 143]
[215, 278]
[131, 97]
[241, 243]
[77, 67]
[77, 172]
[217, 282]
[43, 192]
[43, 212]
[47, 279]
[77, 99]
[93, 79]
[93, 88]
[95, 185]
[129, 192]
[164, 164]
[164, 172]
[164, 186]
[164, 203]
[164, 217]
[164, 51]
[164, 96]
[180, 183]
[210, 246]
[217, 301]
[43, 54]
[43, 62]
[43, 107]
[43, 115]
[43, 134]
[43, 152]
[43, 160]
[77, 41]
[77, 49]
[77, 108]
[77, 116]
[77, 128]
[77, 194]
[77, 202]
[77, 210]
[77, 222]
[77, 230]
