[313, 194]
[360, 193]
[222, 234]
[322, 74]
[74, 171]
[141, 87]
[18, 18]
[62, 344]
[511, 215]
[368, 360]
[215, 378]
[450, 85]
[593, 149]
[590, 354]
[602, 45]
[349, 236]
[103, 234]
[383, 304]
[619, 244]
[192, 181]
[227, 20]
[285, 309]
[92, 74]
[247, 128]
[414, 74]
[459, 376]
[514, 18]
[19, 260]
[473, 294]
[18, 110]
[162, 294]
[433, 154]
[427, 232]
[515, 132]
[551, 285]
[204, 307]
[247, 221]
[294, 381]
[368, 18]
[146, 19]
[129, 157]
[298, 279]
[312, 111]
[543, 79]
[18, 197]
[101, 296]
[194, 120]
[292, 19]
[448, 20]
[458, 315]
[18, 380]
[73, 92]
[80, 18]
[106, 380]
[163, 236]
[206, 73]
[264, 71]
[567, 224]
[614, 302]
[19, 314]
[74, 223]
[464, 196]
[547, 173]
[33, 63]
[250, 343]
[247, 277]
[265, 173]
[322, 342]
[368, 65]
[369, 279]
[385, 153]
[412, 378]
[425, 280]
[474, 246]
[486, 55]
[560, 26]
[30, 153]
[61, 279]
[105, 338]
[131, 265]
[168, 55]
[194, 266]
[284, 241]
[305, 152]
[401, 201]
[408, 32]
[417, 334]
[445, 127]
[479, 156]
[489, 101]
[514, 264]
[556, 329]
[556, 379]
[557, 128]
[619, 150]
[624, 48]
[194, 180]
[318, 212]
[625, 347]
[625, 167]
[200, 185]
[625, 76]
[625, 378]
[464, 383]
[624, 179]
[620, 84]
[620, 386]
[143, 188]
[208, 386]
[555, 386]
[125, 188]
[197, 383]
[122, 104]
[241, 119]
[354, 163]
[354, 148]
[97, 228]
[259, 12]
[602, 121]
[587, 11]
[599, 215]
[618, 12]
[621, 215]
[621, 121]
[200, 106]
[318, 105]
[79, 129]
[79, 190]
[79, 97]
[112, 350]
[200, 146]
[292, 326]
[318, 159]
[464, 338]
[625, 281]
[625, 234]
[625, 20]
[625, 135]
[625, 314]
[50, 386]
[80, 386]
[136, 301]
[211, 73]
[215, 79]
[239, 386]
[324, 386]
[316, 284]
[352, 74]
[354, 386]
[365, 79]
[179, 188]
[277, 386]
[350, 284]
[416, 386]
[401, 74]
[503, 301]
[569, 84]
[574, 179]
[588, 386]
[32, 386]
[12, 52]
[12, 83]
[12, 142]
[12, 172]
[12, 274]
[12, 327]
[12, 356]
[241, 166]
[241, 196]
[549, 346]
[549, 368]
[12, 223]
[122, 152]
[197, 333]
[354, 200]
[439, 107]
[12, 32]
[56, 12]
[34, 12]
[215, 12]
[196, 12]
[345, 335]
[462, 12]
[423, 12]
[402, 12]
[580, 121]
[121, 12]
[88, 12]
[170, 228]
[133, 228]
[158, 12]
[205, 228]
[327, 12]
[292, 12]
[361, 12]
[380, 147]
[411, 147]
[501, 12]
[541, 12]
[546, 121]
[559, 215]
[112, 332]
[385, 386]
[447, 386]
[79, 156]
[79, 211]
[79, 113]
[112, 372]
[200, 127]
[200, 166]
[292, 304]
[318, 132]
[318, 182]
[464, 361]
[464, 320]
[524, 200]
[524, 103]
[625, 258]
[625, 298]
[625, 331]
[625, 363]
[95, 386]
[144, 296]
[378, 79]
[156, 301]
[251, 386]
[289, 386]
[335, 79]
[392, 79]
[407, 79]
[477, 301]
[520, 301]
[539, 179]
[537, 84]
[587, 84]
[591, 179]
[101, 79]
[160, 188]
[174, 301]
[224, 386]
[306, 386]
[333, 284]
[370, 386]
[401, 386]
[432, 386]
[553, 84]
[556, 179]
[572, 386]
[604, 84]
[604, 386]
[608, 179]
[20, 386]
[12, 370]
[241, 207]
[549, 379]
[12, 101]
[12, 115]
[12, 189]
[12, 241]
[12, 293]
[122, 121]
[122, 169]
[197, 350]
[241, 92]
[241, 135]
[354, 175]
[377, 299]
[439, 122]
[549, 317]
[12, 68]
[12, 206]
[12, 258]
[12, 310]
[122, 137]
[197, 367]
[241, 151]
[377, 317]
[12, 19]
[23, 12]
[327, 335]
[146, 12]
[158, 228]
[183, 12]
[243, 12]
[388, 12]
[449, 12]
[488, 12]
[527, 12]
[569, 12]
[585, 215]
[71, 12]
[104, 12]
[114, 228]
[187, 228]
[275, 12]
[308, 335]
[309, 12]
[332, 228]
[343, 12]
[362, 335]
[395, 147]
[540, 215]
[562, 121]
[219, 228]
[79, 143]
[79, 177]
[79, 167]
[79, 201]
[112, 318]
[112, 361]
[200, 94]
[200, 117]
[200, 137]
[200, 156]
[200, 176]
[292, 315]
[318, 119]
[318, 146]
[318, 200]
[318, 93]
[318, 171]
[464, 350]
[464, 372]
[524, 190]
[625, 35]
[625, 61]
[625, 155]
[625, 222]
[625, 270]
[625, 145]
[625, 247]
[112, 380]
[103, 386]
[58, 386]
[188, 188]
[332, 386]
[343, 79]
[67, 386]
[122, 301]
[224, 79]
[261, 386]
[303, 284]
[341, 386]
[361, 284]
[421, 79]
[456, 386]
[487, 301]
[531, 301]
[170, 188]
[184, 301]
[356, 79]
[431, 79]
[12, 378]
[12, 150]
[12, 335]
[122, 177]
[197, 311]
[241, 174]
[439, 131]
[549, 325]
[12, 126]
[12, 159]
[122, 90]
[197, 320]
[241, 103]
[241, 183]
[354, 185]
[354, 210]
[439, 92]
[549, 355]
[12, 42]
[12, 284]
[12, 346]
[549, 336]
[372, 147]
[47, 12]
[135, 12]
[147, 228]
[172, 12]
[231, 12]
[376, 12]
[427, 147]
[438, 12]
[477, 12]
[516, 12]
[557, 12]
[574, 215]
[593, 121]
[605, 12]
[612, 215]
[123, 228]
[205, 12]
[317, 335]
[341, 228]
[362, 147]
[412, 12]
[534, 121]
[549, 215]
[611, 121]
[625, 14]
[625, 127]
[111, 79]
[79, 90]
[79, 105]
[79, 121]
[73, 219]
[79, 136]
[79, 150]
[79, 184]
[79, 218]
[112, 341]
[112, 311]
[112, 325]
[292, 296]
[318, 220]
[318, 190]
[318, 113]
[318, 126]
[318, 139]
[318, 153]
[464, 312]
[464, 329]
[524, 95]
[524, 111]
[524, 207]
[625, 290]
[625, 323]
[625, 28]
[625, 69]
[625, 306]
[625, 339]
[625, 355]
[625, 371]
[625, 42]
